Epoch 1/50, Avg Training Loss: 3.9064891555092554
Epoch 2/50, Avg Training Loss: 3.791793563149192
Epoch 3/50, Avg Training Loss: 3.7812082984230737
Epoch 4/50, Avg Training Loss: 3.6238232525912197
Epoch 5/50, Avg Training Loss: 3.4647484692660244
Epoch 6/50, Avg Training Loss: 3.3865637995980005
Epoch 7/50, Avg Training Loss: 3.3618039217862217
Epoch 8/50, Avg Training Loss: 3.2914792841131035
Epoch 9/50, Avg Training Loss: 3.1235127449035645
Epoch 10/50, Avg Training Loss: 3.0401209701191294
Epoch 11/50, Avg Training Loss: 2.9769455302845347
Epoch 12/50, Avg Training Loss: 2.868238990957087
Epoch 13/50, Avg Training Loss: 2.7848087657581675
Epoch 14/50, Avg Training Loss: 2.7867498614571313
Epoch 15/50, Avg Training Loss: 2.6770628582347524
Epoch 16/50, Avg Training Loss: 2.5516029704700816
Epoch 17/50, Avg Training Loss: 2.6059082854877818
Epoch 18/50, Avg Training Loss: 2.484100168401545
Epoch 19/50, Avg Training Loss: 2.3743035793304443
Epoch 20/50, Avg Training Loss: 2.405778581445867
Epoch 21/50, Avg Training Loss: 2.3295882615176113
Epoch 22/50, Avg Training Loss: 2.2358406240289863
Epoch 23/50, Avg Training Loss: 2.170621633529663
Epoch 24/50, Avg Training Loss: 2.132059183987704
Epoch 25/50, Avg Training Loss: 2.0780866796320137
Epoch 26/50, Avg Training Loss: 2.0415489456870337
Epoch 27/50, Avg Training Loss: 2.0094139142469927
Epoch 28/50, Avg Training Loss: 1.9475803591988303
Epoch 29/50, Avg Training Loss: 1.8863158876245671
Epoch 30/50, Avg Training Loss: 1.8263784105127507
Epoch 31/50, Avg Training Loss: 1.8000555363568393
Epoch 32/50, Avg Training Loss: 1.7334293668920344
Epoch 33/50, Avg Training Loss: 1.7388200651515613
Epoch 34/50, Avg Training Loss: 1.7344998012889514
Epoch 35/50, Avg Training Loss: 1.739918058568781
Epoch 36/50, Avg Training Loss: 1.691984230821783
Epoch 37/50, Avg Training Loss: 1.6778118935498325
Epoch 38/50, Avg Training Loss: 1.7008812102404507
Epoch 39/50, Avg Training Loss: 1.6294611258940264
Epoch 40/50, Avg Training Loss: 1.6511727137999102
Epoch 41/50, Avg Training Loss: 1.6023081107573076
Epoch 42/50, Avg Training Loss: 1.6284080418673428
Epoch 43/50, Avg Training Loss: 1.6942628296938809
Epoch 44/50, Avg Training Loss: 1.627208406274969
Epoch 45/50, Avg Training Loss: 1.6020082235336304
Epoch 46/50, Avg Training Loss: 1.6101164817810059
Epoch 47/50, Avg Training Loss: 1.604934811592102
Epoch 48/50, Avg Training Loss: 1.5863340226086704
[34m[1mwandb[39m[22m: [33mWARNING[39m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")
/Users/sarahbentley/dfa_transformer/venv/lib/python3.10/site-packages/sklearn/metrics/_classification.py:1531: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, f"{metric.capitalize()} is", len(result))
Epoch 49/50, Avg Training Loss: 1.596846342086792
Epoch 50/50, Avg Training Loss: 1.5759379430250688
